"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"На странице скролим к вопросу, кликаем на него и проверяем, что появляется ответ","254","Проверка, что по нажатию на ""вопрос о важном"" появляется ответ","tests","Thu Sep 19 22:09:30 MSK 2024","passed","Thu Sep 19 22:09:31 MSK 2024","TestImportantQuestionArea","test_main_page","",""
"Заполняем форму -> заказываем самокат -> проверяем появление окна об успешном заказе -> проверяем переходы по логотипам","7574","Проверка всего флоу целиком позитивного сценария заказа самоката","tests","Thu Sep 19 22:10:04 MSK 2024","passed","Thu Sep 19 22:10:11 MSK 2024","TestScooterOrder","test_order_page","",""
"На странице скролим к вопросу, кликаем на него и проверяем, что появляется ответ","272","Проверка, что по нажатию на ""вопрос о важном"" появляется ответ","tests","Thu Sep 19 22:09:31 MSK 2024","passed","Thu Sep 19 22:09:31 MSK 2024","TestImportantQuestionArea","test_main_page","",""
"Заполняем форму -> заказываем самокат -> проверяем появление окна об успешном заказе -> проверяем переходы по логотипам","7531","Проверка всего флоу целиком позитивного сценария заказа самоката","tests","Thu Sep 19 22:09:56 MSK 2024","passed","Thu Sep 19 22:10:04 MSK 2024","TestScooterOrder","test_order_page","",""
"Заполняем форму -> заказываем самокат -> проверяем появление окна об успешном заказе -> проверяем переходы по логотипам","7763","Проверка всего флоу целиком позитивного сценария заказа самоката","tests","Thu Sep 19 22:09:48 MSK 2024","passed","Thu Sep 19 22:09:56 MSK 2024","TestScooterOrder","test_order_page","",""
"На странице скролим к вопросу, кликаем на него и проверяем, что появляется ответ","256","Проверка, что по нажатию на ""вопрос о важном"" появляется ответ","tests","Thu Sep 19 22:09:30 MSK 2024","passed","Thu Sep 19 22:09:30 MSK 2024","TestImportantQuestionArea","test_main_page","",""
"На странице скролим к вопросу, кликаем на него и проверяем, что появляется ответ","296","Проверка, что по нажатию на ""вопрос о важном"" появляется ответ","tests","Thu Sep 19 22:09:30 MSK 2024","passed","Thu Sep 19 22:09:30 MSK 2024","TestImportantQuestionArea","test_main_page","",""
"На странице скролим к вопросу, кликаем на него и проверяем, что появляется ответ","2296","Проверка, что по нажатию на ""вопрос о важном"" появляется ответ","tests","Thu Sep 19 22:09:28 MSK 2024","passed","Thu Sep 19 22:09:30 MSK 2024","TestImportantQuestionArea","test_main_page","",""
"Кликаем по обеим кнопкам, проверяем url перехода - он должен совпасть с url оформления заказа","3335","Проверка равенства двух точек входа в сценарий заказа самоката","tests","Thu Sep 19 22:09:45 MSK 2024","passed","Thu Sep 19 22:09:48 MSK 2024","TestScooterOrder","test_order_page","",""
"На странице скролим к вопросу, кликаем на него и проверяем, что появляется ответ","257","Проверка, что по нажатию на ""вопрос о важном"" появляется ответ","tests","Thu Sep 19 22:09:31 MSK 2024","passed","Thu Sep 19 22:09:31 MSK 2024","TestImportantQuestionArea","test_main_page","",""
"На странице скролим к вопросу, кликаем на него и проверяем, что появляется ответ","268","Проверка, что по нажатию на ""вопрос о важном"" появляется ответ","tests","Thu Sep 19 22:09:31 MSK 2024","passed","Thu Sep 19 22:09:32 MSK 2024","TestImportantQuestionArea","test_main_page","",""
"На странице скролим к вопросу, кликаем на него и проверяем, что появляется ответ","251","Проверка, что по нажатию на ""вопрос о важном"" появляется ответ","tests","Thu Sep 19 22:09:31 MSK 2024","passed","Thu Sep 19 22:09:31 MSK 2024","TestImportantQuestionArea","test_main_page","",""
